"NAME_2","ID_2","Cod.Municipio"
"Chalán",944,70230
"Colosó",945,NA
"Corozal",946,70215
"Galeras",947,70235
"Guarandá",948,NA
"La Unión de Sucre",949,NA
"Los Palmitos",950,70418
"Majagual",951,70429
"Morroa",952,70473
"Ovejas",953,70508
"Sampués",954,70670
"San Antonio de Palmito",955,NA
"San Benito Abad",956,70678
"San Juan de Betulia",957,70702
"San Marcos",958,70708
"San Onofre",959,70713
"San Pedro",960,70717
"Sincé",961,NA
"Sincelejo",962,70001
"Sucre",963,19785
"Tolú",964,NA
"Toluviejo",965,NA
"Alpujarra",966,73024
"Alvarado",967,73026
"Ambalema",968,73030
"Anzoátegui",969,73043
"Armero",970,NA
"Ataco",971,73067
"Cajamarca",972,73124
"Carmen de Apicalá",973,73148
"Casabianca",974,73152
"Chaparral",975,73168
"Coello",976,73200
"Coyaima",977,73217
"Cunday",978,73226
"Dolores",979,73236
"Espinal",980,73268
"Falán",981,NA
"Flandes",982,73275
"Fresno",983,73283
"Guamo",984,73319
"Herveo",985,73347
"Honda",986,73349
"Ibagué",987,73001
"Icononzo",988,73352
"Lérida",989,73408
"Líbano",990,73411
"Melgar",991,73449
"Murillo",992,73461
"Natagaima",993,73483
"Ortega",994,73504
"Piedras",995,73547
"Planadas",996,73555
"Prado",997,73563
"Purificación",998,73585
"Rioblanco",999,73616
"Roncesvalles",1000,73622
"Rovira",1001,73624
"Saldaña",1002,73671
"San Antonio",1003,73675
"San Luís",1004,NA
"San Sebastian de Mariquita",1005,NA
"Santa Isabel",1006,73686
"Suárez",1007,19780
"Valle de San Juan",1008,73854
"Venadillo",1009,73861
"Villahermosa",1010,73870
"Villarrica",1011,73873
"Alcalá",1012,76020
"Andalucía",1013,76036
"Ansermanuevo",1014,76041
"Argelia",1015,5055
"Bolívar",1016,19100
"Buenaventura",1017,76109
"Bugalagrande",1018,76113
"Caicedonia",1019,76122
"Calima",1020,76126
"Candelaria",1021,8141
"Cartago",1022,76147
"Dagua",1023,76233
"El Águila",1024,76243
"El Cairo",1025,76246
"El Cerrito",1026,76248
"El Dovio",1027,76250
"Florida",1028,76275
"Ginebra",1029,76306
"Guacarí",1030,76318
"Guadalajara de Buga",1031,76111
"Jamundí",1032,76364
"La Cumbre",1033,76377
"La Unión de Sucre",1034,NA
"La Victoria",1035,15401
"Obando",1036,76497
"Palmira",1037,76520
"Pradera",1038,76563
"Restrepo",1039,50606
"Riofrío",1040,76616
"Roldanillo",1041,76622
"San Pedro",1042,70717
"Santiago de Cali",1043,NA
"Sevilla",1044,76736
"Toro",1045,76823
"Trujillo",1046,76828
"Tuluá",1047,76834
"Ulloa",1048,76845
"Versalles",1049,76863
"Vijes",1050,76869
"Yotoco",1051,76890
"Yumbo",1052,76892
"Zarzal",1053,76895
"Carurú",1054,97161
"Mitú",1055,97001
"Pacoa",1056,97511
"Papunahua",1057,NA
"Taraira",1058,97666
"Yavaraté",1059,97889
"Cumaribo",1060,99773
"La Primavera",1061,99524
"Puerto Carreño",1062,99001
"San Jose de Ocune",1063,NA
"Santa Rita",1064,NA
"Santa Rosalía",1065,99624
